Date,Close/Last,Volume,Open,High,Low
06/23/2020,75.635,N/A,75.481,75.635,75.473
06/22/2020,75.835,N/A,75.78,75.91,75.768
06/21/2020,76.222,N/A,76.25,76.295,76.205
06/19/2020,76.255,N/A,76.39,76.40,76.106
06/18/2020,76.238,N/A,76.39,76.40,76.233
06/17/2020,76.168,N/A,76.28,76.29,76.108
06/16/2020,76.318,N/A,76.24,76.353,76.235
06/15/2020,75.844,N/A,75.954,75.979,75.785
06/12/2020,76.06,N/A,75.97,76.215,75.76
06/11/2020,76.045,N/A,75.97,76.215,75.972
06/10/2020,75.722,N/A,75.611,75.757,75.58
06/09/2020,75.48,N/A,75.49,75.555,75.445
06/08/2020,75.497,N/A,75.38,75.731,75.40
06/07/2020,75.615,N/A,75.558,75.672,75.549
06/05/2020,75.56,N/A,75.439,75.727,75.325
06/04/2020,75.565,N/A,75.31,75.645,75.325
06/03/2020,75.507,N/A,75.31,75.508,75.325
06/02/2020,75.075,N/A,75.09,75.10,75.01
06/01/2020,75.566,N/A,75.50,75.60,75.478
05/29/2020,75.605,N/A,75.65,75.742,75.445
05/28/2020,75.678,N/A,75.65,75.742,75.655
05/27/2020,75.835,N/A,75.90,75.92,75.767
05/26/2020,75.614,N/A,75.432,75.645,75.459
05/25/2020,75.698,N/A,75.884,75.887,75.688
05/24/2020,75.95,N/A,75.94,75.95,75.95
05/22/2020,75.96,N/A,75.61,76.013,75.62
05/21/2020,75.681,N/A,75.61,75.785,75.62
05/20/2020,75.715,N/A,75.55,75.745,75.535
05/19/2020,75.635,N/A,75.64,75.71,75.602
05/18/2020,75.745,N/A,75.69,75.797,75.61
05/17/2020,75.808,N/A,75.817,75.855,75.773
05/15/2020,75.83,N/A,75.48,75.941,75.405
05/14/2020,75.493,N/A,75.48,75.527,75.426
05/13/2020,75.532,N/A,75.36,75.565,75.365
05/12/2020,75.19,N/A,75.034,75.305,75.053
05/11/2020,75.884,N/A,75.86,75.96,75.859
05/08/2020,75.53,N/A,75.785,75.794,75.263
05/07/2020,75.476,N/A,75.785,75.794,75.476
05/06/2020,76.081,N/A,76.08,76.145,76.049
05/05/2020,75.707,N/A,75.69,75.809,75.664
